date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:36	338/338	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Aug%202022%2001:57:36%20GMT	http://localhost:8080/mfweb	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb.0.delayed	(from )
21:57:36	310/310	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Aug%202022%2001:57:36%20GMT	http://localhost:8080/robots.txt		(from )
21:57:37	15405/15405	---MC-	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202022%2001:57:36%20GMT	http://localhost:8080/mfweb/	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/index.html	(from )
21:57:37	1318/1318	---M--	200	added ('OK')	image/x-icon	etag:%22526-5d00b89dd9ce2%22	http://localhost:8080/mfweb/templates/tx_appy/favicon.ico	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/favicon.ico	(from http://localhost:8080/mfweb/)
21:57:37	7108/7108	---M--	200	added ('OK')	text/css	etag:%221bc4-5d00ba2fa48d6%22	http://localhost:8080/mfweb/libraries/expose/interface/css/joomla.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/libraries/expose/interface/css/joomla.css	(from http://localhost:8080/mfweb/)
21:57:37	85873/85873	---M--	200	added ('OK')	text/css	etag:%2214f71-5d00b89e53d61%22	http://localhost:8080/mfweb/templates/tx_appy/css/typography.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/typography.css	(from http://localhost:8080/mfweb/)
21:57:38	53847/53847	---M--	200	added ('OK')	text/css	etag:%22d257-5d00b89e3cd3d%22	http://localhost:8080/mfweb/templates/tx_appy/css/template.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/template.css	(from http://localhost:8080/mfweb/)
21:57:40	22889/22889	---M--	200	added ('OK')	text/css	etag:%225969-5d00b89e4ccbc%22	http://localhost:8080/mfweb/templates/tx_appy/css/responsive.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/responsive.css	(from http://localhost:8080/mfweb/)
21:57:41	2666/2666	---M--	200	added ('OK')	text/css	etag:%22a6a-5d00b89e61e5a%22	http://localhost:8080/mfweb/templates/tx_appy/css/xpertscroller.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/xpertscroller.css	(from http://localhost:8080/mfweb/)
21:57:41	12068/12068	---M--	200	added ('OK')	text/css	etag:%222f24-5d00b89e6fc5c%22	http://localhost:8080/mfweb/templates/tx_appy/css/parallax-slider.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/parallax-slider.css	(from http://localhost:8080/mfweb/)
21:57:42	1371/1371	---M--	200	added ('OK')	text/css	etag:%2255b-5d00b89e5b24f%22	http://localhost:8080/mfweb/templates/tx_appy/css/xperttabs.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/xperttabs.css	(from http://localhost:8080/mfweb/)
21:57:42	1866/1866	---M--	200	added ('OK')	text/css	etag:%2274a-5d00b89e9a084%22	http://localhost:8080/mfweb/templates/tx_appy/css/styles/blue.css	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/css/styles/blue.css	(from http://localhost:8080/mfweb/)
21:57:43	112/112	---M--	200	added ('OK')	image/png	etag:%2270-5d00b89f1505e%22	http://localhost:8080/mfweb/templates/tx_appy/images/backgrounds/horizontal.png	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/images/backgrounds/horizontal.png	(from http://localhost:8080/mfweb/)
21:57:47	43133/43133	---M--	200	added ('OK')	image/jpeg	etag:%22a87d-5d00b89f50391%22	http://localhost:8080/mfweb/templates/tx_appy/images/backgrounds/header-bg.jpg	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/images/backgrounds/header-bg.jpg	(from http://localhost:8080/mfweb/)
21:57:48	4784/4784	---M--	200	added ('OK')	application/javascript	etag:%2212b0-5d00b8b0c667c%22	http://localhost:8080/mfweb/media/system/js/core.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/media/system/js/core.js	(from http://localhost:8080/mfweb/)
21:57:48	729/729	---M--	200	added ('OK')	application/javascript	etag:%222d9-5d00b8b157805%22	http://localhost:8080/mfweb/media/system/js/caption.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/media/system/js/caption.js	(from http://localhost:8080/mfweb/)
21:57:58	96362/96362	---M--	200	added ('OK')	application/javascript	etag:%221786a-5d00b8b14aa55%22	http://localhost:8080/mfweb/media/system/js/mootools-core.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/media/system/js/mootools-core.js	(from http://localhost:8080/mfweb/)
21:57:59	902/902	---M--	200	added ('OK')	application/javascript	etag:%22386-5d00ba2f1da5f%22	http://localhost:8080/mfweb/libraries/expose/interface/js/equalheight.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/libraries/expose/interface/js/equalheight.js	(from http://localhost:8080/mfweb/)
21:57:59	106279/106279	---M--	200	added ('OK')	image/jpeg	etag:%2219f27-5d00b89f4b4b2%22	http://localhost:8080/mfweb/templates/tx_appy/images/backgrounds/bottom-bg.jpg	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/images/backgrounds/bottom-bg.jpg	(from http://localhost:8080/mfweb/)
21:57:59	3063/3063	---M--	200	added ('OK')	application/javascript	etag:%22bf7-5d00ba2f923f2%22	http://localhost:8080/mfweb/libraries/expose/interface/js/jquery.lazyload.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/libraries/expose/interface/js/jquery.lazyload.js	(from http://localhost:8080/mfweb/)
21:58:00	1458/1458	---M--	200	added ('OK')	application/javascript	etag:%225b2-5d00ba2f49ce2%22	http://localhost:8080/mfweb/libraries/expose/interface/js/breakpoints.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/libraries/expose/interface/js/breakpoints.js	(from http://localhost:8080/mfweb/)
21:58:00	3245/3245	---M--	200	added ('OK')	application/javascript	etag:%22cad-5d00ba2f89d7b%22	http://localhost:8080/mfweb/libraries/expose/interface/js/offcanvas.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/libraries/expose/interface/js/offcanvas.js	(from http://localhost:8080/mfweb/)
21:58:00	1913/1913	---M--	200	added ('OK')	application/javascript	etag:%22779-5d00b89e30fb6%22	http://localhost:8080/mfweb/templates/tx_appy/js/template.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/js/template.js	(from http://localhost:8080/mfweb/)
21:58:01	3290/3290	---M--	200	added ('OK')	application/javascript	etag:%22cda-5d00b89e1dcc1%22	http://localhost:8080/mfweb/templates/tx_appy/js/headroom.min.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/js/headroom.min.js	(from http://localhost:8080/mfweb/)
21:58:01	5453/5453	---M--	200	added ('OK')	application/javascript	etag:%22154d-5d00b89e2447b%22	http://localhost:8080/mfweb/templates/tx_appy/js/scrollspy.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/js/scrollspy.js	(from http://localhost:8080/mfweb/)
21:58:01	547/547	---M--	200	added ('OK')	application/javascript	etag:%22223-5d00b89e10c37%22	http://localhost:8080/mfweb/templates/tx_appy/js/jQuery.headroom.min.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/js/jQuery.headroom.min.js	(from http://localhost:8080/mfweb/)
21:58:02	2160/2160	---M--	200	added ('OK')	image/png	etag:%22870-5d00b983fc706%22	http://localhost:8080/mfweb/images/ic_launcher.png	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/images/ic_launcher.png	(from http://localhost:8080/mfweb/)
21:58:02	6708/6708	---M--	200	added ('OK')	image/png	etag:%221a34-5d00b89f0372b%22	http://localhost:8080/mfweb/templates/tx_appy/images/apple_touch_icon.png	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/templates/tx_appy/images/apple_touch_icon.png	(from http://localhost:8080/mfweb/)
21:58:02	93636/93636	---M--	200	added ('OK')	application/javascript	etag:%2216dc4-5d00ba2f27dd3%22	http://localhost:8080/mfweb/libraries/expose/interface/js/jquery-1.8.3.min.js	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/libraries/expose/interface/js/jquery-1.8.3.min.js	(from http://localhost:8080/mfweb/)
21:58:03	24367/24367	---MC-	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202022%2001:58:02%20GMT	http://localhost:8080/mfweb/index.php/about/background	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/index.php/about/background.html	(from http://localhost:8080/mfweb/)
21:58:04	19787/19787	---MC-	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202022%2001:58:02%20GMT	http://localhost:8080/mfweb/index.php/about/research-problem	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/index.php/about/research-problem.html	(from http://localhost:8080/mfweb/)
21:58:05	22844/22844	---MC-	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202022%2001:58:04%20GMT	http://localhost:8080/mfweb/index.php/about/objectives	C:/Tablet%20Transfer/UwAmp/www/static/mF/localhost_8080/mfweb/index.php/about/objectives.html	(from http://localhost:8080/mfweb/)
